ameliorate,"강화시키다, 개선하다, 더 좋게 만들다"
belie,속이다 / ~이 거짓임을 보여주다(사실이 아님을 입증하다) / 중상하다
champion,지지하다 / 옹호자
dissemble,"(실제 감정이나 의도를) 숨기다, ~인 체하다"
evanescent,"덧 없는, 쉽게 사라지는(↔enduring)"
impair,"망치다, 손상시키다"
impede,"막다, 방해하다"
meticulous,"신중한, 꼼꼼한, 정확한"
ostensible,"표면상의, 겉보기의 / 명백한"
perfunctory,형식적인
peripatetic,방랑하는 / 떠돌아다니는
precarious,불안정한
preclude,"막다, 방해하다 / 배제하다"
proscribe,"금지하다, 비난하다, 추방하다"
recondite,"심오한, 난해한"
accolade,"칭찬 / 영예 / 수상, 표창"
audacious,"무모한, 경솔한 / 대담한"
beguile,"속이다, 기만하다"
bolster,"지지하다, 강화하다"
capricious,변덕스러운
condescend,"조롱하다, 멸시하다 / (일부러) 겸손한척 굴다"
dispassionate,"냉정한, 공평한"
enervate,약화시키다
erudite,"학식있는, 유식한"
excoriate,비난하다
facetious,"우스꽝스러운, 경박한"
fastidious,"까다로운, 까탈스러운"
furtive,"은밀한, 숨은"
hamper,"막다, 방해하다, 저지하다"
hubris,"교만, 자만"
impecunious,무일푼의
impugn,"논박, 반박, 부정하다, 의문을 제기하다"
mendacious,"거짓의, 허위의"
obfuscate,(일부러)혼란시키다/애매하게 만들다
obsequious,아부하는
solicitous,염려하는 / 간절히 원하는 / 세심히 배려하는
sycophant,아첨꾼
transitory,"일시적인, 덧 없는, 영속하지 않는"
trenchant,신랄한 / 뚜렷한 / 날카로운
vindicate,"옹호하다, 무죄방면하다 / 의혹을 풀다, 명예회복하다, / 정당화하다, 변호하다"
virtuoso,거장 (예술)
adamant,마음을 바꾸지 않는
admonish,"권고, 경고하다"
alleviate,"완하시키다, 가볍게하다"
assuage,"달래다, 완화시키다 / 만족시키다"
bellicose,"호전적인, 싸우기 좋아하는"
cajole,감언으로 꼬셔서 ~하게 하다 / 아첨하
cogent,설득력 있는
daunt,"위협하다, 겁나게 하다"
disingenuous,"솔직하지 않은, 부정직한"
fathom,헤아리다 / 수심을 재다
flippant,"경박한, 성의 없는 / 무례한"
sacrosanct,신성 불가침의
shirk,회피하다 [n] shirker
supercilious,"거만한, 건방진"